격자: 340개 bbox
기존: 998개 단지, 완료: 60개
[106/340] +66신규 (합계 4312개) 37.502,126.847
[107/340] +120신규 (합계 4432개) 37.502,126.872
[108/340] +137신규 (합계 4569개) 37.502,126.897
[109/340] +50신규 (합계 4619개) 37.502,126.923
[110/340] +36신규 (합계 4655개) 37.502,126.948
[111/340] +19신규 (합계 4674개) 37.502,126.974
[112/340] +143신규 (합계 4817개) 37.502,126.999
[113/340] +176신규 (합계 4993개) 37.502,127.025
[114/340] +40신규 (합계 5033개) 37.502,127.050
[115/340] +26신규 (합계 5059개) 37.502,127.076
[116/340] +116신규 (합계 5175개) 37.502,127.102
[117/340] +12신규 (합계 5187개) 37.502,127.127
[118/340] +2신규 (합계 5189개) 37.502,127.153
[120/340] +54신규 (합계 5243개) 37.517,126.770
[121/340] +130신규 (합계 5373개) 37.517,126.796
[122/340] +313신규 (합계 5686개) 37.517,126.821
[123/340] +135신규 (합계 5821개) 37.517,126.847
[124/340] +106신규 (합계 5927개) 37.517,126.872
[125/340] +94신규 (합계 6021개) 37.517,126.897
[126/340] +17신규 (합계 6038개) 37.517,126.923
[127/340] +35신규 (합계 6073개) 37.517,126.948
[128/340] +39신규 (합계 6112개) 37.517,126.974
[129/340] +44신규 (합계 6156개) 37.517,126.999
[130/340] +88신규 (합계 6244개) 37.517,127.025
[131/340] +56신규 (합계 6300개) 37.517,127.050
[132/340] +11신규 (합계 6311개) 37.517,127.076
[133/340] +143신규 (합계 6454개) 37.517,127.102
[134/340] +104신규 (합계 6558개) 37.517,127.127
[136/340] +7신규 (합계 6565개) 37.517,127.178
[138/340] +6신규 (합계 6571개) 37.532,126.796
[139/340] +299신규 (합계 6870개) 37.532,126.821
[140/340] +235신규 (합계 7105개) 37.532,126.847
[141/340] +55신규 (합계 7160개) 37.532,126.872
[142/340] +47신규 (합계 7207개) 37.532,126.897
[143/340] +113신규 (합계 7320개) 37.532,126.923
[144/340] +93신규 (합계 7413개) 37.532,126.948
[145/340] +35신규 (합계 7448개) 37.532,126.974
[146/340] +60신규 (합계 7508개) 37.532,126.999
[147/340] +42신규 (합계 7550개) 37.532,127.025
[148/340] +98신규 (합계 7648개) 37.532,127.050
[149/340] +97신규 (합계 7745개) 37.532,127.076
[150/340] +165신규 (합계 7910개) 37.532,127.102
[151/340] +240신규 (합계 8150개) 37.532,127.127
[152/340] +11신규 (합계 8161개) 37.532,127.153
[153/340] +53신규 (합계 8214개) 37.532,127.178
[155/340] +61신규 (합계 8275개) 37.548,126.796
[156/340] +64신규 (합계 8339개) 37.548,126.821
[157/340] +82신규 (합계 8421개) 37.548,126.847
[158/340] +55신규 (합계 8476개) 37.548,126.872
[159/340] +127신규 (합계 8603개) 37.548,126.897
[160/340] +81신규 (합계 8684개) 37.548,126.923
[161/340] +42신규 (합계 8726개) 37.548,126.948
[162/340] +32신규 (합계 8758개) 37.548,126.974
[163/340] +92신규 (합계 8850개) 37.548,126.999
[164/340] +38신규 (합계 8888개) 37.548,127.025
[165/340] +99신규 (합계 8987개) 37.548,127.050
[166/340] +24신규 (합계 9011개) 37.548,127.076
[167/340] +17신규 (합계 9028개) 37.548,127.102
[168/340] +21신규 (합계 9049개) 37.548,127.127
[169/340] +18신규 (합계 9067개) 37.548,127.153
[170/340] +16신규 (합계 9083개) 37.548,127.178
[172/340] +101신규 (합계 9184개) 37.563,126.796
[173/340] +32신규 (합계 9216개) 37.563,126.821
[174/340] +9신규 (합계 9225개) 37.563,126.847
[175/340] +20신규 (합계 9245개) 37.563,126.872
[176/340] +111신규 (합계 9356개) 37.563,126.897
[177/340] +61신규 (합계 9417개) 37.563,126.923
[178/340] +32신규 (합계 9449개) 37.563,126.948
[179/340] +24신규 (합계 9473개) 37.563,126.974
[180/340] +162신규 (합계 9635개) 37.563,126.999
[181/340] +73신규 (합계 9708개) 37.563,127.025
[182/340] +165신규 (합계 9873개) 37.563,127.050
[183/340] +39신규 (합계 9912개) 37.563,127.076
[184/340] +2신규 (합계 9914개) 37.563,127.102
[186/340] +14신규 (합계 9928개) 37.563,127.153
[187/340] +9신규 (합계 9937개) 37.563,127.178
[188/340] +1신규 (합계 9938개) 37.578,126.770
[191/340] +2신규 (합계 9940개) 37.578,126.847
[192/340] +11신규 (합계 9951개) 37.578,126.872
[193/340] +149신규 (합계 10100개) 37.578,126.897
[194/340] +83신규 (합계 10183개) 37.578,126.923
[195/340] +6신규 (합계 10189개) 37.578,126.948
[196/340] +18신규 (합계 10207개) 37.578,126.974
[197/340] +52신규 (합계 10259개) 37.578,126.999
[198/340] +44신규 (합계 10303개) 37.578,127.025
[199/340] +108신규 (합계 10411개) 37.578,127.050
[200/340] +129신규 (합계 10540개) 37.578,127.076
[201/340] +4신규 (합계 10544개) 37.578,127.102
[202/340] +38신규 (합계 10582개) 37.578,127.127
[203/340] +1신규 (합계 10583개) 37.578,127.153
[204/340] +6신규 (합계 10589개) 37.578,127.178
[205/340] +29신규 (합계 10618개) 37.594,126.770
[207/340] +6신규 (합계 10624개) 37.594,126.821
[209/340] +5신규 (합계 10629개) 37.594,126.872
[210/340] +325신규 (합계 10954개) 37.594,126.897
[211/340] +59신규 (합계 11013개) 37.594,126.923
[212/340] +24신규 (합계 11037개) 37.594,126.948
[213/340] +9신규 (합계 11046개) 37.594,126.974
[214/340] +99신규 (합계 11145개) 37.594,126.999
[215/340] +38신규 (합계 11183개) 37.594,127.025
[216/340] +86신규 (합계 11269개) 37.594,127.050
[217/340] +78신규 (합계 11347개) 37.594,127.076
[218/340] +40신규 (합계 11387개) 37.594,127.102
[219/340] +78신규 (합계 11465개) 37.594,127.127
[220/340] +9신규 (합계 11474개) 37.594,127.153
[223/340] +25신규 (합계 11499개) 37.609,126.796
[224/340] +54신규 (합계 11553개) 37.609,126.821
[225/340] +1신규 (합계 11554개) 37.609,126.847
[227/340] +88신규 (합계 11642개) 37.609,126.897
[228/340] +24신규 (합계 11666개) 37.609,126.923
[230/340] +11신규 (합계 11677개) 37.609,126.974
[231/340] +29신규 (합계 11706개) 37.609,126.999
[232/340] +27신규 (합계 11733개) 37.609,127.025
[233/340] +122신규 (합계 11855개) 37.609,127.050
