name,country,company_type,ownership,website,description,search_keyword,relevant,relevance_score
OncoLab Co. Ltd.,,,Private,https://www.oncolab.co.kr,"OncoLab is developing ANGel, a localized combination immuno-oncology platform designed to unlock greater value from existing antibody and payload-based therapies in solid tumors. ANGel is not another ADC or bispecific antibody. It is designed to bring ADC-like tumor killing and bispecific-like immune engagement together at the injection site through sustained, localized activity. By spatially orga",oncology,True,2
Korea Institute of Radiological and Medical Sciences,,,Public,http://www.kirams.re.kr,"Korea Institute of Radiological & Medical Sciences is a government-funded biomedical research institute focused on translational oncology and radiological medicine. Our laboratory develops innovative targeted anticancer therapeutics, with current business development efforts centered on two differentiated kinase inhibitor programs targeting MASTL and NUAK1 for difficult-to-treat solid tumors, incl",oncology,True,5
Forlong Biotechnology,,,Private,https://www.forlongbiotech.com,"Forlong Biotechnology is a clinical-stage biotech company focusing on transformative immune-oncology therapy based on engineered cytokines. FL115, an IL-15 superagonist, has shown best-in-class clinical profile in multiple Phase 1/2 studies and will advance to Phase 3 for NMIBC in 2027. FL116, an anti-PD1/IL-18 bispecific, has shown strong anti-tumor activities in vivo and significant safety margi",oncology,True,2
Ever Supreme Bio Technology,,"Biotech or pharma, therapeutic R&D France",Public,https://www.ever-supreme.com.tw,,oncology,True,1
Oncodesign Precision Medicine,,,Public,https://www.oncodesign.com,,oncology,False,0
Golden Biotechnology Corp.,,"Biotech or pharma, therapeutic R&D South Korea",Public,https://www.goldenbiotech.com/en,,oncology,True,1
IMBiologics,,,Public,https://imbiologics.com/,"IMBiologics (IMB) is a publicly traded, clinical-stage biopharmaceutical company focused on developing differentiated biologic therapies for immunology and inflammation (I&I) and cancer. By integrating innovative target biology with advanced antibody engineering and proprietary multivalent platform technologies, the company is advancing a pipeline of next-generation therapeutics designed to addres",oncology,True,1
Prellis Biologics,,,Private,https://www.prellisbio.com/,"Prellis uses an in vitro platform to rapidly generate fully human antibodies with unprecedented diversity which stem directly from human donor immune repertoires. We are seeking (i) 1-2 strategic partnerships for working on target validation, target discovery and platform development use cases as well as (ii) broadly for partners to in-license our preclinical portfolio of multispecific antibodies ",oncology,False,0
Myllia Biotechnology GmbH,,,Private,https://www.myllia.com,"Myllia performs CRISPR screens for biotech and pharma clients. We perturb primary human cells and cancer cell lines with CRISPRn, CRISPRi or CRISPRa and combine it with various read-outs such as fitness, FACS, CITE-Seq or scRNA-Seq. Our CRISPR-based functional genomics platform enables drug target identification/validation in primary cellular models that ultimately translate to human disease biolo",oncology,True,2
Technology Development Group UCLA,,,Private,https://tdg.ucla.edu,"UCLA Technology Development Group serves as a campus-wide gateway to Innovation, Research and Entrepreneurship. Learn more at tdg.ucla.edu and view all our available technologies at https://ucla.technologypublisher.com."" [e198]:",oncology,False,0
Optieum Biotechnologies Inc.,,,Private,https://optieumbio.com/main-en/,"Optieum Biotechnologies, Inc. is a peri-clinical biotechnology company developing next-generation CAR-T cell therapies. Optieum’s lead program, OPTF01, targets fibroblast activation protein alpha (FAPα) to address both tumor cells and the tumor microenvironment/Cancer Associated Fibroblasts. OPTF01 is expected to file an IND later this year, with glioblastoma as the first target indication - with ",oncology,True,2
Yantai Lannacheng Biotechnology,,,,https://en.dc-lnc.com/,"Lannacheng (LNC) is a subsidiary of Dongcheng Pharmaceutical. We focus on developing first-in-class, integrated theranostic radiopharmaceuticals for oncology. Our pipeline covers a broad range of targets including PSMA, FAP, integrin αvβ3 and more, using small molecules, peptides, and antibodies to address prostate cancer, gliomas, neuroendocrine tumors, and other solid tumors. Backed by Dongcheng",oncology,True,3
OncoPrecision,,,Private,https://oncoprecision.bio/,"OncoPrecision is a precision oncology company engineering first-in-class ADCs and bispecific antibodies – powered by patient-derived biology and AI – for hard-to-treat cancers. Our lead program, ONC001, is a first-in-class CD64-ADC designed to eliminate leukemic monocytes and tumor-associated macrophages. Currently advancing through IND-enabling studies, ONC001 has demonstrated strong in vivo effi",oncology,True,3
ImmuneOnco Biopharma,,seeking CRO or CDMO services at this time.,Public,https://www.immuneonco.com,"ImmuneOnco Biopharmaceuticals is a Shanghai-based biotech company focused on the discovery and development of immunotherapies targeting cancer, autoimmune, and metabolic diseases. We are currently open to post-IPO project investment and out-licensing for our mid-to-pivotal-stage core assets in oncology and autoimmune, as well as NewCo/JV formation for our antibody / fusion protein assets in the im",oncology,True,2
PRG Science & Technology,,,Private,http://www.prgst.com/,"PRG S&Tech is a research & development company specializing in the treatment of rare genetic diseases.Therapeutics for Rare Genetic Diseases (laminopathies, neurodegenerative diseases, neuro-oncology etc.) with small molecules, which are derived from target sites on aberrant Protein-Protein Interactions (PPI)."" [e50]:",oncology,True,2
Oncorena,,,Private,https://www.oncorena.com/,,oncology,False,0
JJP Biologics,,,Private,https://jjpbiologics.com/,"Together we can help many JJP Biologics is a clinical-stage biotech combining deep immune pathway expertise with smart antibody engineering to treat autoimmune diseases and cancer. We identify where immunity goes wrong and engineer targeted antibodies to restore balance. Headquartered in Poland, JJP Biologics is a clinical-stage biotech backed by the long-term vision and, socially responsible capi",oncology,True,1
Oncolinc Therapeutics Inc.,,,Private,https://oncolinc.com/,"OncoLinc Therapeutics Inc. is a Halifax, Canada-based startup, established in 2024, developing next-generation cancer immunotherapies focused on targeting long non-coding RNAs (lncRNAs) to overcome immunotherapy resistance"" [e73]:",oncology,True,2
"Accutar Biotechnology, Inc.",,,Private,https://www.accutarbio.com/,"Accutar is an oncology clinical stage biotech headquartered in NJ USA, with an established pipeline and platform empowered by AI, including a variety of modalities such as chimeric degraders (TPD), small molecules, ADC / degrader antibody conjugates (DACs). Our pipeline focuses on breast cancer (3 assets), HemOnc (1 asset) and KRAS (3 assets). See More"" [e80]:",oncology,True,2
"Jing Medicine Technology (Shanghai), Ltd.",,,Private,https://www.recornabio.com,"Jing Medicine Technology (Shanghai) Co., Ltd. is a clinical-stage biotech company dedicated to developing differentiated therapeutic programs in oncology and central nervous system (CNS) diseases. The company is committed to advancing novel mechanisms of action and high-potential drug candidates to address significant unmet medical needs and improve patient outcomes. Its pipeline comprises clinica",oncology,True,1
"Xuxin (HongKong) Biotechnology Co., Limited",,,Private,https://www.recornabio.com,,oncology,False,0
"Ascendo Biotechnology Co., Ltd.",,,Private,https://www.ascendobiotech.com,"Ascendo Biotechnology is a clinical-stage biopharmaceutical company developing first-in-class therapeutics targeting novel innate immune checkpoints across oncology and autoimmune diseases. Our proprietary platform is designed to modulate immune responses upstream of adaptive immunity, enabling differentiated therapeutic approaches for patients with significant unmet medical needs. See More"" [e102",oncology,True,1
Biond Biologics,,,Private,https://www.biondbio.com,"Biond Biologics is a private, clinical-stage biopharmaceutical company, developing novel immunotherapies for cancer and immune-related diseases."" [e110]:",oncology,True,1
Bioplatinum Technologies LLC,,,Private,https://www.bioplatinumtech.com/,,oncology,False,0
Custom Biologics,,,Private,http://custombiologics.com,"A large molecule bioanalytical CRO helping companies advance biotherapeutic and gene therapy drug development through pre-clinical CMC characterization, clinical pharmacokinetic and immunogenicity testing."" [e125]",oncology,False,0
Reax Biotechnologies,,,Private,http://www.reaxbio.com,"ReAx is a Chicago-based, pre-clinical company that is applying next generation chemical proteomic platforms to discover, optimize and validate small molecules directly in cells. The ReAx pipeline enables interrogation of proteomic ‘dark matter’ – a landscape that is rarely studied, much less exploited for ligand discovery against high-value protein targets. By integrating our platforms with innova",oncology,False,0
"Kernal Biologics, Inc.",,,Private,https://www.kernalbio.com,"Kernal Bio is VC-backed biotech company pioneering mRNA 2.0 immunotherapies. We leverage selective mRNA-LNP technology to treat cancer and autoimmune diseases with precision, ensuring targeted delivery and minimal off-target effects. Our in vivo CAR-T program (KR-402) program achieves over 90% delivery efficiency with T-cell-targeted LNPs, enabling direct CAR-T programming inside the body and resu",oncology,True,1
Peptris Technologies Pvt Ltd,,,Private,https://www.peptris.com/,"Peptris is an AI powered preclinical drug discovery company working on rare diseases, oncology, inflammation and women's health. At Peptris, we have created an array of AI models to predict various parameters that are critical for a novel molecule to be considered a potential drug candidate. We also use our algorithm to identify novel uses for existing drugs (repurposing, repositioning) and also t",oncology,True,2
OncoVerity,,,Private,https://www.dualitybiologics.com/about.html,"OncoVerity leverages a unique computational biology platform to advance oncology therapeutics, starting with cusatuzumab, a novel, first-in-class high-affinity, anti-CD70 monoclonal antibody."" [e152]:",oncology,True,2
Duality Biologics,,,Public,https://www.dualitybiologics.com/about.html,"DualityBio is an emerging leader in developing next generation ADCs for oncology and autoimmune diseases. DualityBio successful listed on HKEX on April 15th by completing an IPO raise of $211mn."" [e159]:",oncology,True,1
Kisoji Biotechnology,,,Private,https://www.oncolys.com,,oncology,False,0
Oncolys BioPharma Inc,,gene.,Public,https://www.oncolys.com,,oncology,True,1
Unixell Biotechnology,,,,https://unixell.com/en/index.aspx,"UniXell is an innovative biotechnology company specialized in developing hPSC based cell therapy products."" [e181]:",oncology,False,0
Korea Biotechnology Industry Organization,,,,http://www.koreabio.org/en,"KoreaBIO is a non-profit organization and a kind of trade association. Our missions are to become a supportive organization to serve the member companies more efficiently and a reliable partner of the government."" [e188]",oncology,False,0
North Carolina Biotechnology Center,,,Private,http://www.ncbiotech.org,"Since 1984, the North Carolina Biotechnology Center has led life sciences technology-based economic development for the state by supporting the progression of ideas from the research lab to the marketplace. As a private, nonprofit state-funded corporation, NCBiotech invests in technology development through grants and in company development through loans. Our transformational programs and activiti",oncology,False,0
Adze Biotechnology Inc,,Investor,Private,https://adzebiotech.com,"Adze Biotechnology is a clinical-stage oncolytic immunotherapy platform company with active programs in melanoma, breast cancer, and liver cancer. Our proprietary oncolytic backbone is designed for both systemic and intra-tumoral delivery, and we can vary IO payloads at will. We are actively seeking investors for our $30mm B round to fund our multiple clinical programs with early data readouts exp",oncology,True,3
Oncode Accelerator,,Investor,,https://www.oncodeaccelerator.nl,"Oncode Accelerator is a unique cancer research network in the Netherlands which aims to innovate and accelerate the development of new cancer therapies. At BIO, we're looking for interesting new therapy candidates to co-fund development projects on.",oncology,True,1
Oncoimmunostics Ltd,,,Private,https://oncoimmunostics.com,"Oncoimmunostics specializes in cancer diagnostics and innovative therapeutics using advanced biomimetic printing and AI technologies, committed to enabling precision medicine and delivering personalized solutions for cancer patients globally."" [e34]:",oncology,True,1
Industrial Technology Research Institute (ITRI),,,Public,https://www.itri.org.tw/english/ListStyle.aspx?DisplayStyle=01&SiteID=1&MmmID=1037333532373240766,"ITRI headquartered in Taiwan, engages in R&D collaboration, contracted research and technology transfer."" [e41]",oncology,False,0
HuniLife Biotechnology Inc.,,,Private,http://en.hunilife.com,"Hunilife is a clinical stage biotech company, pioneering in the 2nd generation immunotherapy beyond PD-1/PD-L1. The leading clinical candidate HuL001 reprograms TME to boost T cell response via suppressing TAM and CAF. HuL001 is able to improve the efficacy of PD1/PD-L1 antibody, chemotherapy, and radiation therapy for cancer treatment. This antibody is now in phase 1/2 trial of multiple myeloma a",oncology,True,1
TetraKit Technologies,,,Private,https://tetrakit.com,"TetraKit Technologies develops the next generation of radioactive drugs using its patented technology platform to radiolabel small molecules, peptides and antibodies instantly with any radionuclide, for example the best radionuclide pair for molecular imaging and targeted alpha-radionuclide therapy - fluorine-18 and astatine-211. TetraKit is validating the platform technology with superior therano",oncology,False,0
Onconic Therapeutics,,,Private,http://www.onconic.co.kr/,"Onconic Therapeutics is a research-based biopharmaceutical company to develop and deliver innovative medicines to patients across oncology and GI therapeutic areas with two late-stage assets (zastaprazan and nesuparib)"" [e63]",oncology,True,1
Grit Biotechnology Inc.,,,,https://www.grit-bio.com/,,oncology,False,0
Biologics Manufacturing Center,,,,https://www.bmc-cppb.ca,,oncology,False,0
NeoMab Biotechnology,,,,https://www.neomab-bio.com,,oncology,False,0
Yashraj Biotechnology Limited,,,Private,https://Yashraj,,oncology,False,0
Powerhouse Biology,,,Private,https://www.powerhouse.bio/,"We combine Nature’s creativity with AI-guided design to engineer mitochondrial therapeutics that expand healthy human lifespan."" [e101]:",oncology,False,0
Onegene Biotechnology,,,Private,https://www.onegenebt.com/,"Onegene Biotechnology is a biotech company dedicated to developing next-generation multispecific antibody therapeutics for complex diseases such as cancer, where multiple disease-driving targets must be addressed simultaneously. The company’s proprietary UniStac® platform enables modular and efficient generation of multispecific antibody candidates with differentiated therapeutic potential. See Mo",oncology,True,1
Saya Biologics,,,Private,https://saya.bio,,oncology,False,0
XO TECHNOLOGY,,,Public,https://licensing.research.gatech.edu/,,oncology,False,0
Georgia Institute of Technology,,,Public,https://licensing.research.gatech.edu/,,oncology,False,0
Multus Biotechnology,,,Private,https://www.multus.bio,"Multus Biotechnology is a global leader in AI-driven cell culture media design, helping biomanufacturing companies shorten their time to market while improving supply chain security."" [e135]:",oncology,False,0
SIMR Biotechnology,,""", Lp-PLA2 inhibitor, its Phase 2 trial is ongoing.""",Private,http://simrbio.com/en,,oncology,False,0
Development Center for Biotechnology,,,Public,https://www.dcb.org.tw,"DCB is developing mAb, ADC, bispecific antibodies, and small molecule drugs and is looking for licensees or partners to further develop those early-stage programs."" [e149]",oncology,False,0
"TaiGen Biotechnology Co., Ltd.",,,Public,https://www.taigenbiotech.com/en,"TaiGen Biotechnology Co., Ltd. is a Taiwan-based, fully integrated pharmaceutical company focused on the discovery, development, and commercialization of innovative treatments, particularly in infectious diseases and niche diseases. Leveraging its strong research foundation and international clinical development expertise, TaiGen delivers first- and best-in-class therapeutic solutions based on sma",oncology,False,0
"TWi Biotechnology, Inc.",,,Public,https://www.twibiotech.com/website/index?lang=en,,oncology,False,0
Zhaoke (Hong Kong) Ophthalmology Pharmaceutical Ltd.,,,Public,https://www.zkoph.com/home?lang=en,,oncology,False,0
"Canadian Centre for Vaccinology (CCfV), Dalhousie University",,,Private,https://www.ccfv.ca/,,oncology,False,0
Qu Biologics Inc.,,,Private,https://www.qubiologics.com,"Qu's Site Specific Immunomodulators (SSIs) are uniquely designed to restore normal function, modulation, and plasticity of the hundreds of receptors and signaling molecules and dozens of pathways and cells that are dysregulated in chronic disease to transform the treatment of cancer, inflammatory diseases, and metabolic disease."" [e188]:",oncology,True,1
Allele Biotechnology,,,Private,http://www.allelebiotech.com,,oncology,False,0
"Viriom (Shaoxing) Pharmaceutical Technology Co., Ltd.",,"is a professional pharmaceutical company engaged in technology transfer and in-licensing, with a strong focus on the EAEU market. Our expertise lies in bringing innovative treatments to new regions through strategic partnerships and regulatory advancements.",Private,https://viriom.com,"Viriom (Shaoxing) Pharmaceutical Technology Co., Ltd. is a professional pharmaceutical company engaged in technology transfer and in-licensing, with a strong focus on the EAEU market. Our expertise lies in bringing innovative treatments to new regions through strategic partnerships and regulatory advancements."" [e203]:",oncology,False,0
Aviva Systems Biology,,,Private,http://www.avivasysbio.com/,"Aviva Systems Biology helps scientists measure what matters, supporting researchers from discovery to diagnostic assay development. Custom services include recombinant antibody discovery, antibody characterization, protein expression and purification, and immunoassay development. We also offer a deep catalog of antibodies, ELISAs, and proteins. See More"" [e210]:",oncology,False,0
ForgeStop Technology Corp,,,Private,https://www.forgestop.com,"ForgeStop is the global infrastructure platform for connected pharmaceutical products. Through NFC smart labels, we deliver the world's most secure product authentication, EU-compliant electronic Product Information (ePI), real-time supply chain track & trace, and geofence-triggered diversion alerts — all from a single platform. Trusted by global pharma leaders including Mankind Pharma, Sanofi, an",oncology,False,0
Applied Biotechnology Institute,,,Private,http://www.appliedbiotechnology.org/,"ABI has a protein production platform that enables a low-cost source of animal-free products. First products have been commercialized and products in late stage development include orally delivered vaccines, a high intensity sweetener, food/feed protein"" [e50]",oncology,False,0
Tenacia Biotechnology,,,Private,https://www.tenacia.com/en/,"Founded in 2022 by Bain Capital, Tenacia is a commercial-stage biopharmaceutical company dedicated to developing innovative therapeutics for patients with underserved neurological disorders."" [e57]:",oncology,False,0
Oncodesign Services,,,Private,http://www.oncodesign-services.com,"Oncodesign Services is a leading CRO specializing in drug discovery and preclinical services. Our mission is to help researchers discover innovative therapies against cancers and serious diseases with high medical need. We have been performing translational science for over 30 years, providing the partnership required to help our clients progress from therapeutic target to advanceable preclinical ",oncology,True,3
"Caleo Biotechnologies, Inc.",,,Private,https://caleobiotechnologies.com/,"At CaleoBio, we’re advancing next-generation, patient-derived Organ-Dish (OD) models that move beyond reductionist organoids and animal systems. ODs are self-organizing models that recapitulate native tissue structure and function ex-vivo. By integrating epithelial, mesenchymal, and immune components, they enable high-fidelity modeling of immune dysregulation, wound repair, and barrier dysfunction",oncology,False,0
Oncolytics Biotech Inc.,,,Public,http://www.oncolyticsbiotech.com,,oncology,True,1
OSU Biotechnology Translational Institute,,Investor,,,,oncology,True,1
"Yonsei Biotechnology Holdings Co., Ltd",,Investor,Private,https://corregene.com/,,oncology,False,0
"Beijing CorreGene Biotechnology Co., Ltd",,,Private,https://corregene.com/,"CorreGene is advancing a differentiated clinical-stage portfolio of T-cell receptor (TCR)-based T-cell engagers (TCEs) and autologous TCR-T cell therapies for high-need solid tumors, including squamous NSCLC, head and neck squamous cell carcinoma, esophageal squamous cell carcinoma, liver cancer, pancreatic cancer, and colorectal cancer. See More"" [e99]:",oncology,True,2
Pohang University of Science and Technology (POSTECH),,,Public,http://www.mithracro.com/,"Pohang University of Science and Technology (POSTECH), established in 1986 in Pohang, South Korea, is a leading private research university recognized for its excellence in science and engineering. In the bio sector, POSTECH’s strengths include world-class infrastructure such as advanced synchrotron radiation accelerators and cryo-electron microscopes, which are vital for structural biology and dr",oncology,False,0
Mithra Biotechnology Inc.,,,Private,http://www.mithracro.com/,"Mithra Biotechnology Inc. is your strategic partner in early-stage drug development, with a focus on complex molecules such as antibody-drug conjugates (ADCs), bispecific antibodies, and specially formulated new chemical entities (NCEs). Backed by extensive expertise in analytical characterization and pharmacokinetic (PK) bioanalysis, we deliver tailored solutions for CMC preparation, PK/PD modeli",oncology,False,0
University of Utah Technology Licensing Office,,,Public,https://technologylicensing.utah.edu/,"Technology Licensing Office at the University of Utah is dedicated to commercializing new technologies and inventions from biotech discoveries founded and developed at the University."" [e122]",oncology,False,0
"Shanghai Shengdu Dacheng Biotechnology Co., Ltd.",,,,https://www.ibio.org,,oncology,False,0
Illinois Biotechnology Industry Organization (iBIO),,"HudsonAlpha Institute for Biotechnology is a nonprofit research institution using genomics to improve human health, secure the global food supply, and drive economic growth in the life sciences. With locations in Huntsville and Dothan, Alabama, HudsonAlpha accelerates the transition from lab discovery to real-world application by fostering a unique ecosystem of world-class researchers, educators, and more than 50 diverse biotech companies. From diagnosing rare diseases and developing more resilient global crops to training the next generation of STEM leaders, HudsonAlpha is improving lives today and building a more sustainable tomorrow.",,https://www.ibio.org,"Illinois trade association representing life sciences companies"" [e135]",oncology,False,0
Hudson Alpha Institute For Biotechnology,,"HudsonAlpha Institute for Biotechnology is a nonprofit research institution using genomics to improve human health, secure the global food supply, and drive economic growth in the life sciences. With locations in Huntsville and Dothan, Alabama, HudsonAlpha accelerates the transition from lab discovery to real-world application by fostering a unique ecosystem of world-class researchers, educators, and more than 50 diverse biotech companies. From diagnosing rare diseases and developing more resilient global crops to training the next generation of STEM leaders, HudsonAlpha is improving lives today and building a more sustainable tomorrow.",,https://HudsonAlpha.org/innovate,"HudsonAlpha Institute for Biotechnology is a nonprofit research institution using genomics to improve human health, secure the global food supply, and drive economic growth in the life sciences. With locations in Huntsville and Dothan, Alabama, HudsonAlpha accelerates the transition from lab discovery to real-world application by fostering a unique ecosystem of world-class researchers, educators, ",oncology,False,0
Biotechnology Innovation Organization,,,Private,http://www.bio.org,"BIO is the primary advocacy organization for the biotechnology industry."" [e150]",oncology,False,0
"Crafton Biotechnology Co., Ltd.",,,Private,https://www.craftonbio.com,"Crafton Biotechnology is a privately-held mRNA drug developer with a pipeline of novel mRNA vaccines and therapeutics, powered by our suite of novel platform technologies including PureCap®, and chemical synthesis of mRNA. PureCap is the world's most advanced mRNA Cap2 analog, that allows for production of extremely pure, fully functional and fully capped mRNA, with higher protein expression and h",oncology,False,0
"Createrna Science and Technology Co.,Ltd.",,". Createrna has a track record of successful BD deals, one of which is a licensing-out deal with AbbVie on our oral IRAK4 inhibitor, MY004. This asset is entering Phase 2b in 2026 H2.",Private,https://www.createrna.com/en,"Createrna is an innovative biopharmaceutical company focused on developing paradigm-shifting small molecule drugs. Founded in 2014, Createrna has developed a pipeline of over 20 innovative small molecule candidates focusing on immunology, pulmonology and cardiovascular diseases, with 9 molecules currently in clinical stages. Createrna has a track record of successful BD deals, one of which is a li",oncology,False,0
Massachusetts Institute of Technology,,,Private,http://web.mit.edu/,"The Massachusetts Institute of Technology (MIT) is a private research university located in Cambridge, Massachusetts."" [e172]",oncology,False,0
Johns Hopkins Technology Ventures,,,Private,https://ventures.jhu.edu/,"Johns Hopkins Tech Ventures is the translation and entrepreneurship hub of Johns Hopkins, responsible for fostering an innovation ecosystem that brings University discoveries to market through strategic collaborations, licensing and enabling startups."" [e179]",oncology,False,0
New Mexico Biotechnology & Biomedical Association,,,,https://nmbio.org/,"NMBio, a BIO affiliate, is New Mexico’s statewide trade association for biotechnology, biomedicine, and related industries."" [e186]",oncology,False,0
"University of Buffalo - Office of Science, Technology Transfer",,,,https://www.buffalo.edu/partnerships.html,"From mature companies to innovative startups, the Center of Excellence in Bioinformatics and Life Sciences helps life sciences companies grow and succeed. We provide research support, access to experts, incubator space, funding and connections."" [e193]",oncology,False,0
Berlin Partner for Business and Technology,,,Private,https://www.berlin-partner.de/en/,"We are offering business and technology support for companies who want to launch, innovate, expand and secure their economic future in Berlin. You can find our free services at https://www.berlin-partner.de/en/our-services/"" [e200]",oncology,False,0
ProFuse Technology,,"""Per page:""",Private,http://www.profuse-tech.com/,,oncology,False,0
Hopstem Biotechnology,,,Private,http://www.hopstem.com/en/,"Hopstem aims to develop innovative iPSC cell therapy for global CNS patients. The potential RMAT, BIC and FIC hNPC01 injection received IND clearance from FDA and NMPA, completed Phase I study for chronic stroke in June 2025. Hear us @ Jun 17 11:45 153C."" [e34]:",oncology,True,1
"Matica Biotechnology, Inc.",,,Private,https://www.maticabio.com,"Matica Biotechnology, Inc. is a contract development and manufacturing organization (CDMO) specializing in the development and cGMP production of virus-based cell & gene therapies, vaccines, and other precision medicines."" [e41]",oncology,False,0
"Imunopharm Technology Co., Ltd.",,,Private,https://www.imunopharm.com/en,,oncology,False,0
"Curogen Technology Co., Ltd.",,,Private,https://www.curogentech.com,"CUROGEN Technology Co., Ltd. is a biotechnology company focused on developing first-in-class treatments for autoimmune diseases, including Inflammatory Bowel Disease (IBD), Rheumatoid Arthritis (RA), and Hidradenitis Suppurativa (HS). We design therapeutics that precisely target disease mechanisms, leveraging both small molecule inhibitors and engineered fusion proteins to address multiple pathway",oncology,False,0
Advanced Technology International,,,Private,https://www.ati.org/,"ATI ’s Medical and Health Security portfolio accelerates work in the biodefense, health security, biopharmaceutical, healthcare, and CBRN spaces through its industry-leading consortia. We have awarded more than $12 billion in funding through 670 projects to the members of the BioMaP Consortium, Rapid Respond Partnership Vehicle, Customer Experience Hub, Countering Weapons of Mass Destruction Conso",oncology,False,0
"The united bio-technology(hengqin)co.,Ltd",,. UBT leverages deep scientific expertise and synergistic resources to drive forward a pipeline focused on cutting-edge biologics and next-generation treatments.,Public,https://www.tul.com.cn/en-us/,,oncology,False,0
53Biologics,,,Private,https://53biologics.com/,"53Biologics is a fast growing European CDMO specialized in decoding biologics production, from DNA to proteins. The company provide end-to-end services from preclinical development to GMP manufacturing, supporting their clients with a strong track record and state-of-the-art facilities delivering flexibility, speed, and quality to y/our projects. See More"" [e80]:",oncology,False,0
Virginia Biotechnology Association,,,Private,https://www.vabio.org/,"The Virginia Biotechnology Association, formed in 1992, is the premier statewide non-profit trade association representing the life sciences industry in the Commonwealth of Virginia."" [e88]",oncology,False,0
"Biopharma Technology, LLC",,,,https://btllc.solutions/,"Biopharma Technology is a lyophilization (freeze-drying) CDMO based in Carlsbad, CA. We specialize in formulation development and lyocycle design and optimization for lyocakes and lyobeads. We provide R&D lyophilization services for diagnostics and pharmaceuticals as well as RUO manufacturing. We can perform thermal analyses and other characterizations to determine critical data about your formula",oncology,False,0
"iNtRON Biotechnology, Inc.",,,Public,https://intodeworld.com,"iNtRON Biotechnology is an endolysin-based novel drug developing company for the treatment of life-threatening bacterial infections. Endolysin-based pipelines are designed for the treatment of infective endocarditis, bacteremia and serious gram(-) bacterial infection including CRE, UTI, Pneumonia. The company is also a leader in bacteriophage-based technology for the development of novel agent for",oncology,False,0
"Novlead Biotechnology Co., LTD",,,,https://www.novlead.com/,"Leading the Use of NO Therapy Against Cardiopulmonary Disease and Infections. From 0 to N, From Nobel to Noble. We have developed proprietary technologies developed for iNO, FeNO and IABP devices."" [e111]:",oncology,False,0
"Calgent Biotechnology Co., Ltd.",,"Biotech or pharma, therapeutic R&D China",,https://www.calgent.com,"Calgent is dedicated to developing first-in-class compounds from discovery through early clinical stages. We currently have several novel chemical entities targeting cancer, fibrosis, fat reduction, and other immune and inflammatory diseases. NO SERVICE PROVIDER MEETING REQUESTS PLEASE. See More"" [e118]:",oncology,True,2
Darwin Biotechnology Co. Ltd.,,rather than a living-cell product.,Private,http://www.darwinbio.tech,"Darwin Biotechnology is a clinical-stage company addressing severe neurological disorders via its proprietary ECIWEP® platform. It develops standardized, scalable, cell-free protein biologics that translate complex multi-factor biology into manufacturable candidates. Unlike cell or exosome therapies, lead asset Darwin-ALT001 is a cell-free, non-exosomal, allogeneic unrelated human umbilical cord m",oncology,False,0
